qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2023OctNov-Paper31-Q10,0,4,2023OctNov,Paper31,Q10,Q10-SimilarTriangles.png,2023OctNov/Paper31/Q10/Q10-SimilarTriangles.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q10/Q10-SimilarTriangles.png
0580-2023OctNov-Paper31-Q10,1,4,2023OctNov,Paper31,Q10,Q10-TriangleABC.png,2023OctNov/Paper31/Q10/Q10-TriangleABC.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q10/Q10-TriangleABC.png
0580-2023OctNov-Paper31-Q10,2,4,2023OctNov,Paper31,Q10,Q10-TriangleDEF.png,2023OctNov/Paper31/Q10/Q10-TriangleDEF.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q10/Q10-TriangleDEF.png
0580-2023OctNov-Paper31-Q10,3,4,2023OctNov,Paper31,Q10,Q10-TriangleJKL.png,2023OctNov/Paper31/Q10/Q10-TriangleJKL.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper31/Q10/Q10-TriangleJKL.png
0580-2023OctNov-Paper33-Q01,0,1,2023OctNov,Paper33,Q01,Q01-ConversionGraph.png,2023OctNov/Paper33/Q01/Q01-ConversionGraph.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q01/Q01-ConversionGraph.png
0580-2023OctNov-Paper33-Q02,0,1,2023OctNov,Paper33,Q02,Q02-Map.png,2023OctNov/Paper33/Q02/Q02-Map.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q02/Q02-Map.png
0580-2023OctNov-Paper33-Q04,0,2,2023OctNov,Paper33,Q04,Q04-BarChart.png,2023OctNov/Paper33/Q04/Q04-BarChart.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q04/Q04-BarChart.png
0580-2023OctNov-Paper33-Q04,1,2,2023OctNov,Paper33,Q04,Q04-PieChart.png,2023OctNov/Paper33/Q04/Q04-PieChart.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q04/Q04-PieChart.png
0580-2023OctNov-Paper33-Q05,0,2,2023OctNov,Paper33,Q05,Q05-Cuboid.png,2023OctNov/Paper33/Q05/Q05-Cuboid.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q05/Q05-Cuboid.png
0580-2023OctNov-Paper33-Q05,1,2,2023OctNov,Paper33,Q05,Q05-Net.png,2023OctNov/Paper33/Q05/Q05-Net.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q05/Q05-Net.png
0580-2023OctNov-Paper33-Q06,0,2,2023OctNov,Paper33,Q06,Q06-Geometry.png,2023OctNov/Paper33/Q06/Q06-Geometry.png,https://git25math.github.io/25maths-cie0580-figures/2023OctNov/Paper33/Q06/Q06-Geometry.png
